IMO,Navio,Operação,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualizacao
9315733,JAG PUSHPA,TRANSBORDO,183,47.848,GASOLINA,22.000,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,27/06/23
9489895,CELSO FURTADO,IMPORTAÇÃO,183,48.300,DIESEL S 500,39.900,12,LACHMANN,27/06/23
9848338,MARITIME TRANQUILITY,IMPORTAÇÃO,183,49.999,DIESEL,33.171,11.6,LBH BRASIL,27/06/23
9405904,KLARA,IMPORTAÇÃO,183,49.999,DIESEL,26.082,11.6,NORTH STAR,27/06/23
9930519,PS STARS,TRANSBORDO,183,49.999,GASOLINA,18.000,7,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,27/06/23
9798351,ELDIA,IMPORTAÇÃO,183,49.996,DIESEL,29.832,10.45,UNIMAR,27/06/23
9687186,NORD PENGUIN,EXPORTAÇÃO,229,81.841,MILHO,72.864,7.45,ALPHAMAR,27/06/23
9279800,PEDHOULAS MERCHANT,EXPORTAÇÃO,229,82.164,SOJA,65.000,7.2,LBH BRASIL,27/06/23
9664952,ANDREAS PETRAKIS,EXPORTAÇÃO,225,75.999,SOJA,66.000,7.9,CARGONAVE,27/06/23
9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,183,50.135,GASOLINA,17.778,9.5,WILSON SONS SHIPPING SERVICES LTDA,27/06/23
9704441,ZOILO,IMPORTAÇÃO,183,49.990,DIESEL,31.871,12.5,NORTH STAR,27/06/23
9798337,JINLING CONFIDENCE,IMPORTAÇÃO,180,40.320,STEEL PIPES,13.302,10.6,ORION RODOS,27/06/23
9727182,LOWLANDS HOPE,IMPORTAÇÃO,200,60.063,OUTS.ADUBOS/FERTILIZ.MINER.QUIM.C/NITROGENIO,19.600,10.5,WILSON SONS SHIPPING SERVICES LTDA,06/07/23
9721425,FRIEDERIKE SCHULTE,IMPORTAÇÃO,179,38.709,FERTILIZANTES,12.000,10.5,AMART SERVICES,06/07/23
9791963,INCHEON BAY,IMPORTAÇÃO,180,37.501,FERTILIZANTES,4.403,10.5,LBH BRASIL,06/07/23
9718739,ARSINOE,EXPORTAÇÃO,229,81.616,MILHO,73.975,7.9,CARGONAVE,06/07/23
9461192,AEOLIAN FORTUNE,EXPORTAÇÃO,229,82.099,SOJA,68.550,7.56,CARGONAVE,06/07/23
9801316,BRIGHT IMABARI,EXPORTAÇÃO,200,63.504,BAGACOS,45.000,6.45,FERTIMPORT,06/07/23
9311189,MV GLORY CUIABA,EXPORTAÇÃO,225,75.886,SOJA,66.471,7.5,L.M.A. SHIPPING & CONSULTING,06/07/23
9749908,SAKIZAYA KALON,EXPORTAÇÃO,229,81.691,SOJA,78.830,7.4,LBH BRASIL,06/07/23
9422940,MYRSINI,EXPORTAÇÃO,229,82.117,SOJA,66.000,7.2,LBH BRASIL,06/07/23
9582453,STAR ASTRID,EXPORTAÇÃO,229,82.158,SOJA,66.000,7,ALPHAMAR,06/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82,MILHO,71.400,7.9,CARGONAVE,06/07/23
9418119,HORIZON ELECTRA,IMPORTAÇÃO,183,49.999,OUTRAS,17.568,10,NORTH STAR,06/07/23
9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,183,50.135,GASOLINA,17.778,9.5,WILSON SONS SHIPPING SERVICES LTDA,06/07/23
9468815,BOLERO,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,9,LACHMANN,06/07/23
9268681,FORTE DE COPACABANA,IMPORTAÇÃO,124,8.843,GLP,3.500,7,LACHMANN,06/07/23
9848338,MARITIME TRANQUILITY,IMPORTAÇÃO,183,49.999,DIESEL,33.171,11.6,LBH BRASIL,06/07/23
9587477,AM POINT LISAS,EXPORTAÇÃO,229,93.191,SOJA,70.000,9.14,FERTIMPORT,06/07/23
9706530,ALMA,EXPORTAÇÃO,229,81.947,SOJA,70.000,7.1,FERTIMPORT,06/07/23
9407407,HORIZON THEONI,IMPORTAÇÃO,183,49.997,GASOLINA,32.300,10,LACHMANN,06/07/23
9520857,FLAGSHIP VIOLET,IMPORTAÇÃO,228,74.999,DIESEL,32.600,13.35,LACHMANN,06/07/23
9791963,INCHEON BAY,IMPORTAÇÃO,180,37.501,FERTILIZANTES,4.403,10.5,LBH BRASIL,10/07/23
9832456,EUCALYPTUS,IMPORTAÇÃO,180,36.300,FERTILIZANTES,7.000,10.2,LBH BRASIL,10/07/23
9719331,KIBO,IMPORTAÇÃO,182,38.896,FERTILIZANTES,14.251,6.5,LBH BRASIL,10/07/23
9638501,THOR CHAICHANA,IMPORTAÇÃO,197,58.605,FERTILIZANTES,47.350,11,WORLD SHIPPING SLZ AGENCIAMENTOS MARITIMOS LTDA,10/07/23
9468815,BOLERO,IMPORTAÇÃO,189,50.094,OLEO.COMBUSTÍVEL,4.000,9,LACHMANN,10/07/23
9589255,BUILDER,EXPORTAÇÃO,229,81.541,SOJA,693,7.47,ALPHAMAR,10/07/23
9461192,AEOLIAN FORTUNE,EXPORTAÇÃO,229,82.099,SOJA,68.550,7.56,CARGONAVE,10/07/23
9591997,PHOENIX OCEAN,EXPORTAÇÃO,225,76.067,SOJA,66.612,7,LBH BRASIL,10/07/23
9802308,GOODWYN ISLAND,EXPORTAÇÃO,200,63.963,SOJA,66.000,6.9,CARGONAVE,10/07/23
9933248,AQUAPRIMA,EXPORTAÇÃO,229,82,MILHO,71.400,7.9,CARGONAVE,10/07/23
9697868,SAKIZAYA DIAMOND,EXPORTAÇÃO,229,81.938,SOJA,70.500,7.13,LBH BRASIL,10/07/23
9801316,BRIGHT IMABARI,EXPORTAÇÃO,200,63.504,BAGACOS,45.000,6.45,FERTIMPORT,10/07/23
9582453,STAR ASTRID,EXPORTAÇÃO,229,82.158,SOJA,66.000,7,ALPHAMAR,10/07/23
9700342,SEAWAYS LOOKOUT,IMPORTAÇÃO,183,50.135,GASOLINA,17.778,9.5,WILSON SONS SHIPPING SERVICES LTDA,10/07/23
9459060,NAVE ATRIA,EXPORTAÇÃO,183,49.992,DIESEL - CG DO NAVIO FLAGSHIP VIOLET,20.000,7,LACHMANN,10/07/23
9512185,PACCHA,IMPORTAÇÃO,189,50.091,DIESEL S 500,46.300,11.9,LACHMANN,10/07/23
9425851,ETERNITY SW,EXPORTAÇÃO,190,58.098,FERRO,50.000,7,LBH BRASIL,10/07/23
9706530,ALMA,EXPORTAÇÃO,229,81.947,SOJA,70.000,7.1,FERTIMPORT,10/07/23
