Berço,IMO,Navio,Operação,Bordo,Comp(m),DWT,Carga,Qtd.Carga,Calado(m),Agência,Ultima Atualização
B100,9774472,KANG MAY,EXPORTAÇÃO,BORESTE,228,85.001,SOJA,65.000,7.54,FERTIMPORT,30/07/23
B101,9732424,AMIS JUSTICE,IMPORTAÇÃO,BORESTE,200,63.531,MAP,40.000,9.8,ROCHAMAR,30/07/23
B102,9508407,BBC EVEREST,IMPORTAÇÃO,BORESTE,126,9.310,DORMENTES,1.112,7.4,ORION RODOS,30/07/23
B103,9837121,ALANOOD,EXPORTAÇÃO,BORESTE,229,80.681,MILHO,65.000,7.9,CARGONAVE,30/07/23
B104,9380087,JOROPO,EXPORTAÇÃO,BORESTE,183,47.410,GASOLINAS,37.100,7,LACHMANN,30/07/23
B105,9703459,DEVBULK CANSEN,EXPORTAÇÃO,BORESTE,177,35.309,CONCENTRADO.COBRE,34.748,7,LBH BRASIL,30/07/23
B106,9538141,ALHENA,IMPORTAÇÃO,BORESTE,183,52.420,GASOLINA,19.000,11.6,LACHMANN,30/07/23
B099,9863833,FALCON TRADER,IMPORTAÇÃO,BORESTE,200,63.675,CLINQUER,49.570,11.5,LBH BRASIL,01/08/23
B100,9936757,RICHWAY TRADER,EXPORTAÇÃO,BOMBORDO,229,82.231,SOJA,66.000,7.4,LBH BRASIL,01/08/23
B101,9732424,AMIS JUSTICE,IMPORTAÇÃO,BORESTE,200,63.531,MAP,40.000,9.8,ROCHAMAR,01/08/23
B102,9928827,MEGHNA VICTORY,IMPORTAÇÃO,BOMBORDO,200,66.500,UREIA,39.110,10.59,LBH BRASIL,01/08/23
B104,9380087,JOROPO,EXPORTAÇÃO,BORESTE,183,47.410,GASOLINAS,37.100,7,LACHMANN,01/08/23
B105,9842528,SM HARMONY1,EXPORTAÇÃO,BORESTE,229,80.894,GRAOS,73.000,8.01,WILSON SONS SHIPPING SERVICES LTDA,01/08/23
B106,9426312,SKS DELTA,IMPORTAÇÃO,BORESTE,250,119.456,DIESEL S 10,121.200,13.7,LACHMANN,01/08/23
B108,9538141,ALHENA,IMPORTAÇÃO,BORESTE,183,52.420,GASOLINA,19.000,11.6,LACHMANN,01/08/23
B099,9863833,FALCON TRADER,IMPORTAÇÃO,BORESTE,200,63.675,CLINQUER,49.570,11.5,LBH BRASIL,04/08/23
B100,9942615,PROTECTOR,EXPORTAÇÃO,BORESTE,229,82.357,SOJA,63.000,7.55,ROCHAMAR,04/08/23
B101,9801275,PACIFIC WAVE,IMPORTAÇÃO,BORESTE,180,37.644,FERTILIZANTES,35.000,10.56,CARGONAVE,04/08/23
B102,9928827,MEGHNA VICTORY,IMPORTAÇÃO,BOMBORDO,200,66.500,UREIA,39.110,10.59,LBH BRASIL,04/08/23
B103,9911587,CL GENEVA,EXPORTAÇÃO,BORESTE,230,85.229,SOJA,72.600,7,LBH BRASIL,04/08/23
